Date, Minutes Read, Views, Visitors
7/22/2018,982,924,764
7/23/2018,1914,1479,790
7/24/2018,1774,1541,1287
7/25/2018,1668,1475,1308
7/26/2018,1801,1482,1270
7/27/2018,1662,1281,1289
7/28/2018,1010,778,1097
7/29/2018,1037,846,696
7/30/2018,1746,1434,740
7/31/2018,1757,1432,1258
8/1/2018,1724,1450,1233
8/2/2018,1979,1485,1243
8/3/2018,1438,1268,1245
8/4/2018,974,824,1094
8/5/2018,944,858,729
8/6/2018,1556,1303,738
8/7/2018,1710,1457,1103
8/8/2018,1938,1551,1285
8/9/2018,1793,1453,1323
8/10/2018,1807,1378,1260
8/11/2018,1015,863,1201
8/12/2018,984,832,747
8/13/2018,1835,1443,732
8/14/2018,1842,1401,1241
8/15/2018,1575,1281,1208
8/16/2018,1767,1400,1095
8/17/2018,1544,1246,1227
8/18/2018,1034,842,1095
8/19/2018,867,810,734
8/20/2018,598,425,708
