Date, Minutes Read, Views, Visitors
5/13/2018,1053,884,744
5/14/2018,1830,1581,764
5/15/2018,1863,1558,1330
5/16/2018,1898,1615,1362
5/17/2018,1715,1463,1381
5/18/2018,1555,1356,1285
5/19/2018,1048,875,1166
5/20/2018,1195,968,743
5/21/2018,1664,1400,825
5/22/2018,1736,1455,1190
5/23/2018,1819,1419,1240
5/24/2018,1614,1389,1230
5/25/2018,1448,1150,1226
5/26/2018,973,801,1014
5/27/2018,897,822,677
5/28/2018,1497,1198,722
5/29/2018,1701,1375,1016
5/30/2018,1766,1473,1200
5/31/2018,1710,1399,1288
6/1/2018,1724,1324,1196
6/2/2018,1044,826,1146
6/3/2018,1255,1165,708
6/4/2018,1816,1568,1027
6/5/2018,2149,2014,1353
6/6/2018,2436,2160,1711
6/7/2018,1887,1567,1862
6/8/2018,1703,1399,1379
6/9/2018,1012,889,1185
6/10/2018,1019,849,760
6/11/2018,427,286,738
