Date, Minutes Read, Views, Visitors
5/27/2018,897,822,677
5/28/2018,1497,1198,722
5/29/2018,1701,1375,1016
5/30/2018,1766,1473,1200
5/31/2018,1710,1399,1288
6/1/2018,1724,1324,1196
6/2/2018,1044,826,1146
6/3/2018,1255,1165,708
6/4/2018,1816,1568,1027
6/5/2018,2149,2014,1353
6/6/2018,2436,2160,1711
6/7/2018,1887,1567,1862
6/8/2018,1703,1399,1379
6/9/2018,1012,889,1185
6/10/2018,1019,849,760
6/11/2018,1916,1573,738
6/12/2018,1773,1495,1334
6/13/2018,1809,1593,1274
6/14/2018,1658,1384,1319
6/15/2018,1866,1484,1229
6/16/2018,1316,1091,1249
6/17/2018,1137,879,909
6/18/2018,1980,1724,766
6/19/2018,2503,1864,1444
6/20/2018,1920,1586,1623
6/21/2018,5461,3196,1340
6/22/2018,8366,4253,2791
6/23/2018,1980,1447,3718
6/24/2018,1384,1172,1214
6/25/2018,857,650,979
