Date, Minutes Read, Views, Visitors
10/8/2017,370,374,290
10/9/2017,699,677,300
10/10/2017,934,976,541
10/11/2017,1669,1310,779
10/12/2017,4946,2301,1099
10/13/2017,3595,1658,1994
10/14/2017,1375,851,1428
10/15/2017,1810,1085,721
10/16/2017,3813,2120,927
10/17/2017,5863,3469,1859
10/18/2017,3606,2050,3127
10/19/2017,3002,1720,1781
10/20/2017,2157,1327,1475
10/21/2017,811,590,1126
10/22/2017,955,670,497
10/23/2017,1687,1102,561
10/24/2017,1880,1315,929
10/25/2017,2734,1844,1092
10/26/2017,2174,1568,1568
10/27/2017,2537,1567,1337
10/28/2017,1453,929,1384
10/29/2017,1128,779,777
10/30/2017,2925,3353,604
10/31/2017,4246,5105,2555
11/1/2017,2769,2927,4171
11/2/2017,1752,1768,2343
11/3/2017,1548,1546,1456
11/4/2017,987,965,1249
11/5/2017,915,374,752
11/6/2017,788,25,320
