Date, Minutes Read, Views, Visitors
3/11/2018,1290,1202,1096
3/12/2018,2019,1615,1030
3/13/2018,2321,1882,1365
3/14/2018,2210,1752,1581
3/15/2018,2054,1608,1478
3/16/2018,1763,1546,1331
3/17/2018,1274,1058,1302
3/18/2018,1264,1083,885
3/19/2018,1765,1533,905
3/20/2018,1852,1505,1345
3/21/2018,2224,1876,1285
3/22/2018,2371,1825,1584
3/23/2018,1786,1449,1561
3/24/2018,1337,1139,1282
3/25/2018,1139,1029,962
3/26/2018,1831,1556,884
3/27/2018,1936,1604,1334
3/28/2018,2095,1619,1373
3/29/2018,2099,1660,1426
3/30/2018,1619,1250,1426
3/31/2018,1130,960,1071
4/1/2018,1093,928,848
4/2/2018,1659,1267,818
4/3/2018,1988,1543,1098
4/4/2018,1967,1460,1299
4/5/2018,1754,1407,1280
4/6/2018,1761,1386,1215
4/7/2018,1299,1030,1194
4/8/2018,1248,940,871
4/9/2018,371,321,826
