Date, Minutes Read, Views, Visitors
12/17/2017,615,576,468
12/18/2017,1074,933,493
12/19/2017,1044,850,763
12/20/2017,1449,1279,685
12/21/2017,1414,1052,1072
12/22/2017,1326,997,887
12/23/2017,860,657,827
12/24/2017,753,590,538
12/25/2017,591,615,495
12/26/2017,965,737,483
12/27/2017,1207,800,602
12/28/2017,952,773,698
12/29/2017,1260,921,646
12/30/2017,719,581,780
12/31/2017,738,626,494
1/1/2018,692,560,499
1/2/2018,1341,990,450
1/3/2018,1523,1033,827
1/4/2018,1423,1041,853
1/5/2018,1400,1022,857
1/6/2018,846,729,810
1/7/2018,931,704,562
1/8/2018,1311,997,596
1/9/2018,1612,1179,836
1/10/2018,1458,1265,986
1/11/2018,2076,1391,1034
1/12/2018,1858,1333,1157
1/13/2018,1747,1192,1124
1/14/2018,0,0,1002
1/15/2018,0,0,1251
